"","rounded.idw2.all","rounded.idw3.all","rounded.idw4.all","rounded.idw5.all","rounded.ok.all","rounded.ts2.all","rounded.ts2para.all","rounded.ts2linear.all"
"nbr.val",31,31,31,31,31,31,31,31
"nbr.null",5,5,5,5,5,5,5,5
"nbr.na",0,0,0,0,0,0,0,0
"min",0,0,0,0,0,0,0,0
"max",4.02,3.849,3.751,3.697,4.02,5.129,3.676,3.347
"range",4.02,3.849,3.751,3.697,4.02,5.129,3.676,3.347
"sum",17.689,17.551,17.47,17.423,17.689,18.553,16.009,16.569
"median",0.3,0.3,0.3,0.3,0.3,0.3,0.237,0.3
"mean",0.571,0.566,0.564,0.562,0.571,0.598,0.516,0.534
"SE.mean",0.156,0.154,0.153,0.152,0.156,0.177,0.153,0.148
"CI.mean.0.95",0.319,0.314,0.312,0.311,0.319,0.361,0.312,0.302
"var",0.756,0.735,0.724,0.719,0.756,0.966,0.724,0.679
"std.dev",0.869,0.857,0.851,0.848,0.869,0.983,0.851,0.824
"coef.var",1.524,1.514,1.51,1.508,1.524,1.642,1.648,1.541
