"","rounded.mae.idw2","rounded.mae.idw3","rounded.mae.idw4","rounded.mae.idw5","rounded.mae.ok","rounded.mae.ts2","rounded.mae.ts2para","rounded.mae.ts2linear"
"nbr.val",31,31,31,31,31,31,31,31
"nbr.null",31,31,31,31,31,9,9,9
"nbr.na",0,0,0,0,0,0,0,0
"min",0,0,0,0,0,0,0,0
"max",0,0,0,0,0,0.078,0.293,0.275
"range",0,0,0,0,0,0.078,0.293,0.275
"sum",0,0,0,0,0,0.265,1.017,0.955
"median",0,0,0,0,0,0.003,0.013,0.012
"mean",0,0,0,0,0,0.009,0.033,0.031
"SE.mean",0,0,0,0,0,0.003,0.011,0.01
"CI.mean.0.95",0,0,0,0,0,0.006,0.023,0.021
"var",0,0,0,0,0,0,0.004,0.003
"std.dev",0,0,0,0,0,0.016,0.061,0.058
"coef.var",NA,NA,NA,NA,NA,1.906,1.87,1.87
