"","rounded.rmse.idw2","rounded.rmse.idw3","rounded.rmse.idw4","rounded.rmse.idw5","rounded.rmse.ok","rounded.rmse.ts2","rounded.rmse.ts2para","rounded.rmse.ts2linear"
"nbr.val",31,31,31,31,31,31,31,31
"nbr.null",30,31,31,31,30,9,9,9
"nbr.na",0,0,0,0,0,0,0,0
"min",0,0,0,0,0,0,0,0
"max",0.001,0,0,0,0.001,0.107,0.314,0.305
"range",0.001,0,0,0,0.001,0.107,0.314,0.305
"sum",0.001,0,0,0,0.001,0.37,1.091,1.056
"median",0,0,0,0,0,0.005,0.014,0.013
"mean",0,0,0,0,0,0.012,0.035,0.034
"SE.mean",0,0,0,0,0,0.004,0.012,0.011
"CI.mean.0.95",0,0,0,0,0,0.008,0.024,0.023
"var",0,0,0,0,0,0,0.004,0.004
"std.dev",0,0,0,0,0,0.022,0.066,0.064
"coef.var",5.568,NA,NA,NA,5.568,1.867,1.868,1.878
